test_id,excel_sheet,example_table,excel_range,result_shape,required_case,save_as_data_table_name,current_core_coverage,pass_criteria,strict_gate,required_external_dependencies,strict_required_columns_or_segments,strict_forbidden_pass_signals,strict_full_pass_rule
FT01,综合日报表,每日数据表格示例,综合日报表!A41:AG46,含汇总行的日级宽表,FC01+FC02,FT01_综合日报完整表,T01部分覆盖；缺外部指标和同形宽表,列名/列序/汇总行/外部指标一致；默认不要求保存数据表,external_input_required,ad_spend|access_pv|access_uv|download_click_uv,汇总|日期|所属站点|所属渠道商|渠道名称|投放金额|登陆人数|存款总人数|存款总金额|提现总金额|充提差|PV|UV|下载点击UV|UV下载率|注册人数|UV注册率|首存人数|首存成本|首存率|有效投注|会员输赢|杀率|合计优惠,缺少|缺失|请提供|请补充|不能编造|无法计算|外部数据缺失|SQL 缺失|message AS,只有补齐投放/PV/UV/下载点击UV并输出Excel列序宽表和汇总行时才算FULL PASS；阻断只能算BLOCKED_EXTERNAL。
FT02,ROI回收表,渠道整体ROI表,ROI回收表!A11:V18,D1~D360 ROI宽表+环比,FC03+FC04,FT02_渠道整体ROI表,T04/T05部分覆盖；缺全周期ROI宽表,全周期ROI和环比一致；默认不要求保存数据表,external_input_required,ad_spend,投放金额|用户类型|累计1天|3天|7天|15天|30天|60天|90天|120天|150天|180天|210天|240天|270天|300天|330天|360天|环比系数|ROI,缺少|缺失|请提供|请补充|不能编造|无法计算|ad_spend|message AS,ROI必须基于真实补齐的投放金额计算；仅提示缺投放金额或返回message SQL不得算通过。
FT03,ROI回收表,渠道累计收入表,ROI回收表!A23:U28,D1~D360累计收入宽表+环比,FC04,FT03_渠道累计收入表,T04为长表；未覆盖宽表,全周期累计收入和环比一致；默认不要求保存数据表,sql_result_required,,日期|站点名称|所属渠道商|渠道名称|用户类型|累计1天|3天|7天|15天|30天|60天|90天|120天|150天|180天|210天|240天|270天|300天|330天|360天|环比系数,缺少投放金额|缺失投放金额|请提供投放金额|不能编造|无法计算|SQL 缺失|只返回长表|不是宽表,累计收入不依赖投放金额；必须直接生成D1~D360累计收入宽表和环比。
FT04,ROI回收表,渠道TOP3 ROI表,ROI回收表!A32:V37,TOP3 D1~D360 ROI宽表+环比,FC03+FC04+FC06,FT04_TOP3_ROI表,T06/T09覆盖分层；未覆盖TOP3 ROI宽表,TOP3 ROI全周期一致；默认不要求保存数据表,external_input_required,ad_spend,TOP3|投放金额|累计1天|3天|7天|15天|30天|60天|90天|120天|150天|180天|210天|240天|270天|300天|360天|环比系数|ROI,缺少|缺失|请提供|请补充|不能编造|无法计算|message AS,TOP3 ROI必须补齐投放金额后实算；阻断不算FULL PASS。
FT05,ROI回收表,渠道TOP3累计收入表,ROI回收表!A40:U45,TOP3 D1~D360累计收入宽表+环比,FC04+FC06,FT05_TOP3累计收入表,可由T06/T04组合；核心未直接覆盖,TOP3累计收入全周期一致；默认不要求保存数据表,sql_result_required,,TOP3|累计1天|3天|7天|15天|30天|60天|90天|120天|150天|180天|210天|240天|270天|300天|330天|360天|环比系数,缺少投放金额|缺失投放金额|请提供投放金额|不能编造|无法计算|SQL 缺失|只返回长表|不是宽表,TOP3累计收入不依赖投放金额；必须直接生成TOP3 D1~D360累计收入宽表和环比。
FT06,首存及续存率,首存及2~6存率表,首存及续存率!A21:X30,汇总+全部/TOP3/非TOP3首存续存宽表,FC07+FC06,FT06_首存及续存率表,T08覆盖核心字段；缺分层/环比严格表形,首存/2~6存人数率均额一致；默认不要求保存数据表,sql_result_required,,汇总|全部用户|TOP3|非TOP3|注册人数|首存人数|首存率|首存人均金额|二存人数|二存率|二存均额|三存人数|四存人数|五存人数|六存人数|六存率,SQL 缺失|缺汇总|缺TOP3|缺非TOP3|只返回每日明细,必须同时有汇总行、全部/TOP3/非TOP3分层和首存到六存人数/率/均额。
FT07,投充比与杀率,首存用户杀率趋势,投充比与杀率!A15:Z19,首日~N日杀率宽表,FC08,FT07_首存用户杀率趋势表,T10为长表；未覆盖宽表,杀率周期列一致；默认不要求保存数据表,sql_result_required,,汇总|首存用户|全部|TOP3|非TOP3|首日杀率|2日杀率|3日杀率|7日杀率,SQL 缺失|需要补充回收周期|请说明要累计到|只返回长表|不是宽表,必须明确周期并输出首日到截止日杀率宽表；缺n_days澄清不算FULL PASS。
FT08,投充比与杀率,首存用户投充比趋势,投充比与杀率!A22:Z26,首日~N日投充比宽表,FC08,FT08_首存用户投充比趋势表,T10为长表；未覆盖单独投充比宽表,投充比周期列一致；默认不要求保存数据表,sql_result_required,,汇总|首存用户|全部|TOP3|非TOP3|首日投充比|2日投充比|3日投充比|7日投充比,SQL 缺失|需要补充回收周期|请说明要累计到|只返回长表|不是宽表,必须明确周期并输出首日到截止日投充比宽表；缺n_days澄清不算FULL PASS。
FT09,投充比与杀率,渠道所有用户杀率及投充比,投充比与杀率!A30:O34,区间汇总分层表,FC05+FC06,FT09_所有用户杀率投充比表,T09部分覆盖；VIP分层缺口,全部/TOPN/VIP等分层一致；默认不要求保存数据表,sql_result_required,vip_segment_model,全部用户|TOP3|非TOP3|VIP0|VIP1|VIP2|VIP3|存款金额|充提差|有效投注|输赢|杀率|投充比,未包含VIP|如需补充请提供VIP|缺VIP|没有VIP|SQL 缺失,必须包含VIP分层；只有ALL/TOP3/非TOP3不能算原始Excel FULL。
FT10,游戏类型流水分布,所有用户/TOP3/非TOP3游戏类型流水分布,游戏类型流水分布!A14:S32,游戏类型为列的透视宽表,FC09+FC10,FT10_游戏类型流水分布表,T11/T12为长表；未覆盖透视宽表/全枚举,全游戏类型列和分层块一致；默认不要求保存数据表,sql_result_required,,所有用户|TOP3|非TOP3|有效投注流水|下注次数|均注金额|输赢|杀率|投注占比|合计|捕鱼|彩票|电竞|电子-老虎机|电子-街机|电子棋牌|体育|视讯|电子-奖池|真人棋牌|棋牌锦标赛,未单独汇总所有用户|仅包含TOP3|只包含TOP3|只有TOP3|缺全游戏类型|SQL 缺失|不是透视宽表,必须有所有用户/TOPN/非TOPN三块和Excel全游戏类型列；少枚举或少所有用户块不算FULL。
