test_id,category,target,recommended_question,route_expectation,precondition,expected_result,pass_criteria,source_doc
PX01,参数泛化,单日综合日报,统计租户平台990001下渠道990011在2026-04-02这一天的综合日报基础指标,可命中T01或等价模板,seed已导入,只返回04-02；充值金额为2080；不混入其他日期,日期过滤准确且数值与expected-results一致,业务需求泛化测试用例设计.md
PX02,参数泛化,多渠道综合日报,对比租户平台990001下渠道990011和990012在2026-04-01到2026-04-07的综合日报基础指标,可命中T01扩展或普通SQL,seed已导入,结果按渠道分组；990012不串入990011,多渠道过滤和分组正确,业务需求泛化测试用例设计.md
PX03,参数泛化,渠道商/全渠道汇总,按渠道商汇总租户平台990001在2026-04-01到2026-04-07的存款人数、存款金额、投注人数和有效投注,FC02/聚合模板,需要聚合模板或普通SQL支持,金额相加；人数按口径去重；汇总比例需重算,汇总口径正确且不重复计数,业务需求泛化测试用例设计.md
PX04,参数泛化,ROI自定义周期,统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort的D1、D3、D7、D15、D30累计渠道收入,T04/T05长周期扩展,模板支持horizon list,返回请求的周期集合；D7后无新增行为时累计值保持,周期参数未丢失且累计方向正确,业务需求泛化测试用例设计.md
PX05,参数泛化,TOP5/非TOP5,统计租户平台990001下渠道990011在2026-04-15到2026-04-26的TOP5和非TOP5用户存款、有效投注、输赢、投充比和杀率,T09/T20扩展,高频seed已导入,TOP5+非TOP5合计等于ALL；top_n=5,TOPN参数正确且分层可对账,业务需求泛化测试用例设计.md
PX06,参数泛化,首存用户D30趋势,输出租户平台990001渠道990011首存用户从D1到D30每日充值、提现、有效投注、输赢、杀率和投充比,T10长周期扩展,模板支持n_days=30,D1~D30行数完整；无分母时比例为空,长周期行数完整且比例边界正确,业务需求泛化测试用例设计.md
PX07,参数泛化,游戏类型自然周/月,按自然周统计租户平台990001渠道990011各游戏类型有效投注、下注次数、均注、输赢和投注占比,T11扩展或普通SQL,支持自然周边界,自然周边界正确；占比分母为周内总有效投注,时间粒度与占比分母正确,业务需求泛化测试用例设计.md
PX08,参数泛化,首存金额全桶位,按首存金额固定档位输出租户平台990001渠道990011在2026-04-01到2026-04-30的首存人数与占比，包含10、20、30、50、100、200、300、400、500、1000、2000、2000以上和其他,T13/T22扩展,全桶位seed或空桶策略已定义,所有桶位占比合计为1；2000与2000以上不混淆,桶位完整且边界正确,业务需求泛化测试用例设计.md
PX09,参数泛化,续存汇总行,按日输出租户平台990001渠道990011在2026-04-01到2026-04-07首存及2到6存人数、率、均额，并输出汇总行,T08扩展,支持汇总行,汇总比例按汇总分子/分母重算，不做每日比例简单平均,汇总行比例口径正确,业务需求泛化测试用例设计.md
PX10,参数泛化,ROI外部补充后实算,统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort从D1到D7的ROI，投放金额为04-01=1000、04-02=2000、04-03=500,先识别外部依赖补充后继续计算,产品支持外部值回填,ROI=cumulative_channel_revenue/ad_spend；不编造投放金额,外部补充后可实算且分子分母可解释,业务需求泛化测试用例设计.md
