variant_id,full_ref,excel_sheet,variant_type,recommended_question,pass_criteria,strict_note
FT01-V1_SINGLE_CHANNEL,FT01,综合日报表,V1_SINGLE_CHANNEL,生成租户平台72渠道1932在2026-04-10到2026-04-16的综合日报FULL宽表，用户已按日期+渠道补充投放金额、PV、UV、下载点击UV。,列序贴合Excel；汇总行存在；外部字段和派生率实算。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT01-V2_MULTI_CHANNEL,FT01,综合日报表,V2_MULTI_CHANNEL,生成租户平台72渠道1932和1760在2026-04-10到2026-04-16的综合日报FULL宽表，并按渠道分组输出汇总行。,多渠道不串数；每渠道和总汇总分别按分子分母重算。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT01-V3_CHANNEL_PARTNER,FT01,综合日报表,V3_CHANNEL_PARTNER,按渠道商汇总租户平台72在2026-04-10到2026-04-16综合日报FULL宽表。,支持渠道商粒度；全部渠道时人数去重规则明确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT02-V1_D7,FT02,ROI回收表,V1_D7,生成渠道整体ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 ROI宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT02-V2_D360,FT02,ROI回收表,V2_D360,生成渠道整体ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 ROI宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT02-V3_TOP5_OR_SEGMENT,FT02,ROI回收表,V3_TOP5_OR_SEGMENT,生成渠道整体ROI表：租户平台72渠道1932在2026-04-10到2026-04-16按TOP5/非TOP5分层输出ROI。,top_n=5生效；TOP5+非TOP5可对齐ALL。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT03-V1_D7,FT03,ROI回收表,V1_D7,生成渠道累计收入表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 累计收入宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT03-V2_D360,FT03,ROI回收表,V2_D360,生成渠道累计收入表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 累计收入宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT03-V3_TOP5_OR_SEGMENT,FT03,ROI回收表,V3_TOP5_OR_SEGMENT,生成渠道累计收入表：租户平台72渠道1932在2026-04-10到2026-04-16按TOP5/非TOP5分层输出累计收入。,top_n=5生效；TOP5+非TOP5可对齐ALL。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT04-V1_D7,FT04,ROI回收表,V1_D7,生成TOP3 ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7 TOP3 ROI宽表和环比。,D1/D3/D7列齐全；环比公式正确。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
FT04-V2_D360,FT04,ROI回收表,V2_D360,生成TOP3 ROI表：租户平台72渠道1932首存日期2026-04-10到2026-04-16，输出D1/D3/D7/D15/D30/D60/D90/D180/D360 TOP3 ROI宽表和环比。,长周期列齐全；无新增行为时累计值保持。,用于P2泛化补强；通过不替代基线FULL同形，但任一失败需记录泛化缺口。
